from_stop_id,to_stop_id,transfer_type,min_transfer_time
891085003408,891085003408,2,180
891085003406,891085003406,2,180
891085003404,891085003404,2,180
891085003402,891085003402,2,180
891085003320,891085003320,2,180
891085003318,891085003318,2,180
891085003316,891085003316,2,180
891085003314,891085003314,2,180
891085003312,891085003312,2,180
891085003310,891085003310,2,180
891085003308,891085003308,2,180
891085003306,891085003306,2,180
891085003304,891085003304,2,180
891085003302,891085003302,2,180
891085003210,891085003210,2,180
891085003208,891085003208,2,180
891085003206,891085003206,2,180
891085003204,891085003204,2,180
891085003202,891085003202,2,180
891085020157,891085020157,2,180
891085020156,891085020156,2,180
891085020155,891085020155,2,180
891085020154,891085020154,2,180
891085020153,891085020153,2,180
891085000153,891085000153,2,180
891085020121,891085020121,2,180
891085000151,891085000151,2,180
891085000152,891085000152,2,180
891085000156,891085000156,2,180
891085000158,891085000158,2,180
891085000159,891085000159,2,180
891085000166,891085000166,2,180
891085013708,891085013708,2,180
891085013709,891085013709,2,180
891085013710,891085013710,2,180
891085020150,891085020150,2,180
891085020149,891085020149,2,180
891085020148,891085020148,2,180
891085020147,891085020147,2,180
891085020151,891085020151,2,180
891085020152,891085020152,2,180
891085000125,891085000125,2,180
891085020145,891085020145,2,180
891085003605,891085003605,2,180
891085003606,891085003606,2,180
891085003118,891085003118,2,180
891085014801,891085014801,2,180
891085003820,891085003820,2,180
891085003822,891085003822,2,180
891085003860,891085003860,2,180
891085003861,891085003861,2,180
891085003880,891085003880,2,180
891085003863,891085003863,2,180
891085003895,891085003895,2,180
891085003831,891085003831,2,180
891085003869,891085003869,2,180
891085003870,891085003870,2,180
891085003871,891085003871,2,180
891085003872,891085003872,2,180
891085003829,891085003829,2,180
891085003876,891085003876,2,180
891085003825,891085003825,2,180
891085003823,891085003823,2,180
891085003821,891085003821,2,180
891085003827,891085003827,2,180
891085003841,891085003841,2,180
891085014802,891085014802,2,180
891085000102,891085000102,2,180
891085000113,891085000113,2,180
891085000114,891085000114,2,180
891085001201,891085001201,2,180
891085001301,891085001301,2,180
891085001405,891085001405,2,180
891085001403,891085001403,2,180
891085001401,891085001401,2,180
891085001505,891085001505,2,180
891085001507,891085001507,2,180
891085001501,891085001501,2,180
891085001503,891085001503,2,180
891085011501,891085011501,2,180
891085011503,891085011503,2,180
891085002320,891085002320,2,180
891085002321,891085002321,2,180
891085002305,891085002305,2,180
891085002307,891085002307,2,180
891085002323,891085002323,2,180
891085007103,891085007103,2,180
891085007106,891085007106,2,180
891085007102,891085007102,2,180
891085002436,891085002436,2,180
891085002438,891085002438,2,180
891085002427,891085002427,2,180
891085002414,891085002414,2,180
891085002410,891085002410,2,180
891085002408,891085002408,2,180
891085002406,891085002406,2,180
891085002403,891085002403,2,180
891085002402,891085002402,2,180
891085002316,891085002316,2,180
891085002312,891085002312,2,180
891085002310,891085002310,2,180
891085002308,891085002308,2,180
891085002319,891085002319,2,180
891085011504,891085011504,2,180
891085011502,891085011502,2,180
891085001504,891085001504,2,180
891085001502,891085001502,2,180
891085001508,891085001508,2,180
891085001506,891085001506,2,180
891085001402,891085001402,2,180
891085001404,891085001404,2,180
891085001406,891085001406,2,180
891085001302,891085001302,2,180
891085001202,891085001202,2,180
891085020102,891085020102,2,180
891085013001,891085013001,2,180
891085001108,891085001108,2,180
891085001109,891085001109,2,180
891085002309,891085002309,2,180
891085002317,891085002317,2,180
891085002401,891085002401,2,180
891085002405,891085002405,2,180
891085002306,891085002306,2,180
891085002311,891085002311,2,180
891085002313,891085002313,2,180
891085002315,891085002315,2,180
891085040103,891085040103,2,180
891085001607,891085001607,2,180
891085001605,891085001605,2,180
891085001603,891085001603,2,180
891085001601,891085001601,2,180
891085007401,891085007401,2,180
891085007302,891085007302,2,180
891085007206,891085007206,2,180
891085007204,891085007204,2,180
891085007201,891085007201,2,180
891085007108,891085007108,2,180
891085000148,891085000148,2,180
891085000136,891085000136,2,180
891085000137,891085000137,2,180
891085000168,891085000168,2,180
891085000138,891085000138,2,180
891085000139,891085000139,2,180
891085020166,891085020166,2,180
891085001602,891085001602,2,180
891085001604,891085001604,2,180
891085001606,891085001606,2,180
891085001111,891085001111,2,180
891085001112,891085001112,2,180
891085000140,891085000140,2,180
891085000141,891085000141,2,180
891085040101,891085040101,2,180
891085020141,891085020141,2,180
891085020167,891085020167,2,180
891085020142,891085020142,2,180
891085020143,891085020143,2,180
891085002435,891085002435,2,180
891085007101,891085007101,2,180
891085007105,891085007105,2,180
891085007104,891085007104,2,180
891085002324,891085002324,2,180
891085020140,891085020140,2,180
891085040125,891085040125,2,180
891085040124,891085040124,2,180
891085002431,891085002431,2,180
891085007107,891085007107,2,180
891085007203,891085007203,2,180
891085007205,891085007205,2,180
891085007301,891085007301,2,180
891085007202,891085007202,2,180
891085013002,891085013002,2,180
891085000102,891085000102,2,180
891085001703,891085001703,2,180
891085001808,891085001808,2,180
891085001810,891085001810,2,180
891085001805,891085001805,2,180
891085001807,891085001807,2,180
891085001809,891085001809,2,180
891085001901,891085001901,2,180
891085001903,891085001903,2,180
891085001909,891085001909,2,180
891085002001,891085002001,2,180
891085002003,891085002003,2,180
891085002005,891085002005,2,180
891085002007,891085002007,2,180
891085002108,891085002108,2,180
891085002103,891085002103,2,180
891085002107,891085002107,2,180
891085002201,891085002201,2,180
891085002203,891085002203,2,180
891085002205,891085002205,2,180
891085002207,891085002207,2,180
891085002209,891085002209,2,180
891085002412,891085002412,2,180
891085002419,891085002419,2,180
891085002421,891085002421,2,180
891085002423,891085002423,2,180
891085002434,891085002434,2,180
891085002445,891085002445,2,180
891085002429,891085002429,2,180
891085002430,891085002430,2,180
891085002433,891085002433,2,180
891085002432,891085002432,2,180
891085002444,891085002444,2,180
891085002443,891085002443,2,180
891085002446,891085002446,2,180
891085002437,891085002437,2,180
891085002507,891085002507,2,180
891085002501,891085002501,2,180
891085002503,891085002503,2,180
891085002505,891085002505,2,180
891085004801,891085004801,2,180
891085004803,891085004803,2,180
891085002601,891085002601,2,180
891085002603,891085002603,2,180
891085002605,891085002605,2,180
891085002609,891085002609,2,180
891085012705,891085012705,2,180
891085012701,891085012701,2,180
891085012703,891085012703,2,180
891085002701,891085002701,2,180
891085002703,891085002703,2,180
891085002801,891085002801,2,180
891085002901,891085002901,2,180
891085002903,891085002903,2,180
891085002905,891085002905,2,180
891085003001,891085003001,2,180
891085003003,891085003003,2,180
891085003005,891085003005,2,180
891085003007,891085003007,2,180
891085003801,891085003801,2,180
891085003891,891085003891,2,180
891085003803,891085003803,2,180
891085003805,891085003805,2,180
891085003807,891085003807,2,180
891085003819,891085003819,2,180
891085003800,891085003800,2,180
891085003833,891085003833,2,180
891085002407,891085002407,2,180
891085002409,891085002409,2,180
891085002411,891085002411,2,180
891085002413,891085002413,2,180
891085002415,891085002415,2,180
891085002417,891085002417,2,180
891085001806,891085001806,2,180
891085001812,891085001812,2,180
891085001804,891085001804,2,180
891085001704,891085001704,2,180
891085001702,891085001702,2,180
891085002404,891085002404,2,180
891085002314,891085002314,2,180
891085002318,891085002318,2,180
891085002302,891085002302,2,180
891085002210,891085002210,2,180
891085002208,891085002208,2,180
891085002206,891085002206,2,180
891085002204,891085002204,2,180
891085002202,891085002202,2,180
891085002106,891085002106,2,180
891085002104,891085002104,2,180
891085002102,891085002102,2,180
891085002008,891085002008,2,180
891085002006,891085002006,2,180
891085002004,891085002004,2,180
891085002002,891085002002,2,180
891085001910,891085001910,2,180
891085001904,891085001904,2,180
891085001902,891085001902,2,180
891085001802,891085001802,2,180
891085003800,891085003800,2,180
891085003818,891085003818,2,180
891085003808,891085003808,2,180
891085003806,891085003806,2,180
891085003804,891085003804,2,180
891085003892,891085003892,2,180
891085003802,891085003802,2,180
891085003008,891085003008,2,180
891085003006,891085003006,2,180
891085003004,891085003004,2,180
891085003002,891085003002,2,180
891085002906,891085002906,2,180
891085002904,891085002904,2,180
891085002902,891085002902,2,180
891085002704,891085002704,2,180
891085002702,891085002702,2,180
891085012704,891085012704,2,180
891085012702,891085012702,2,180
891085002610,891085002610,2,180
891085002608,891085002608,2,180
891085002606,891085002606,2,180
891085002604,891085002604,2,180
891085002602,891085002602,2,180
891085004804,891085004804,2,180
891085004802,891085004802,2,180
891085002506,891085002506,2,180
891085002504,891085002504,2,180
891085002502,891085002502,2,180
891085002508,891085002508,2,180
891085002802,891085002802,2,180
891085001701,891085001701,2,180
891085001905,891085001905,2,180
891085001907,891085001907,2,180
891085001908,891085001908,2,180
891085001706,891085001706,2,180
891085002442,891085002442,2,180
891085012501,891085012501,2,180
891085012503,891085012503,2,180
891085012505,891085012505,2,180
891085012601,891085012601,2,180
891085012603,891085012603,2,180
891085012604,891085012604,2,180
891085012602,891085012602,2,180
891085012506,891085012506,2,180
891085012504,891085012504,2,180
